名字,适用性别,读音,出处或意象,音(1-5),义(1-5),形(1-5),文(1-5),俗(1-5),合(1-5),合计(初评),民俗备注,注意点
晚晴,女,wǎn qíng,李商隐《晚晴》人间重晚晴,5,5,5,5,4,4,28,晴带日火，晚字缓,以典据意境为主
晴川,女,qíng chuān,崔颢《黄鹤楼》晴川历历汉阳树,5,5,5,5,4,4,28,川水+晴日,诗境为重
疏桐,女,shū tóng,苏轼《卜算子》缺月挂疏桐,5,5,5,5,4,4,28,木象,清疏意境
汀兰,女,tīng lán,《楚辞》搴汀洲兮杜若,5,5,5,5,4,4,28,水边+香草,润而不燥
沅芷,女,yuán zhǐ,《楚辞》沅有芷兮澧有兰,4,5,4,5,5,4,27,水名+香草,典据明确
芷若,女,zhǐ ruò,白芷杜若,4,5,4,4,4,4,25,香草,合马年民俗
杜若,女,dù ruò,《楚辞》采芳洲兮杜若,4,5,4,5,4,4,26,香草,清芳意象
露华,女,lù huá,李白《清平调》春风拂槛露华浓,5,5,5,5,4,4,28,露水+花,润而不燥
荷露,女,hé lù,荷承清露,5,5,5,4,4,4,27,水生植物+露,清露润荷
兰舟,女,lán zhōu,李清照《一剪梅》轻解罗裳独上兰舟,5,5,5,5,4,4,28,水行+香草,清远
云舒,女,yún shū,云卷云舒,5,5,5,3,4,4,26,水汽,舒展
沐宁,女,mù níng,沐恩+安宁,5,5,5,3,4,4,26,水润+安宁,水润心安
沁宁,女,qìn níng,沁润+安宁,5,5,5,3,4,4,26,水渗+安宁,润泽平和
澄宁,女,chéng níng,澄澈安宁,5,5,5,3,4,4,26,水清+安宁,清澄安宁
知禾,女,zhī hé,知+禾稼,5,4,5,3,4,4,25,禾谷民俗,明理丰禾
书禾,女,shū hé,书+禾稼,5,4,5,3,4,4,25,禾谷民俗,书香丰禾
禾宁,女,hé níng,禾稼安宁,5,4,5,3,4,4,25,禾谷民俗,丰收平和
安禾,女,ān hé,安顺禾熟,5,4,5,3,4,4,25,禾谷民俗,平安丰熟
予禾,女,yǔ hé,给予禾丰,5,4,5,3,4,4,25,禾谷民俗,丰足温厚
清芷,女,qīng zhǐ,清水白芷,5,5,5,4,4,4,27,水润+香草,契合喜水
沁芷,女,qìn zhǐ,沁水白芷,5,5,5,4,4,4,27,水润+香草,沁润清芳
澄芷,女,chéng zhǐ,澄水白芷,5,5,5,4,4,4,27,水润+香草,清澄含芳
沐芷,女,mù zhǐ,沐水白芷,5,5,5,4,4,4,27,水润+香草,沐泽含芳
清荷,女,qīng hé,清水荷华,5,5,5,5,4,4,28,水润+水生花,清水荷华
雨荷,女,yǔ hé,雨润荷华,5,5,5,4,4,4,27,水润+水生花,雨润荷华
露荷,女,lù hé,晨露荷华,5,5,5,4,4,4,27,水润+水生花,晨露润荷
沁荷,女,qìn hé,沁水荷华,5,5,5,4,4,4,27,水润+水生花,沁润荷华
清梧,女,qīng wú,清水梧桐,5,5,5,5,4,4,28,水润+木,水润梧青
雨桐,女,yǔ tóng,雨润梧桐,5,5,5,4,4,4,27,水润+木,雨润梧桐
沐桐,女,mù tóng,沐水梧桐,5,5,5,4,4,4,27,水润+木,沐泽桐青
沁桐,女,qìn tóng,沁水梧桐,5,5,5,4,4,4,27,水润+木,沁润梧桐
清竹,女,qīng zhú,清水修竹,5,5,5,5,4,4,28,水润+竹,水润竹青
雨竹,女,yǔ zhú,雨润修竹,5,5,5,4,4,4,27,水润+竹,雨润竹秀
露竹,女,lù zhú,晨露修竹,5,5,5,4,4,4,27,水润+竹,露润竹清
沐竹,女,mù zhú,沐水修竹,5,5,5,4,4,4,27,水润+竹,沐泽竹秀
清月,女,qīng yuè,清水月华,5,5,5,4,4,4,27,水润+清辉,水润月明
沁月,女,qìn yuè,沁水月华,5,5,5,4,4,4,27,水润+清辉,沁润月明
澄月,女,chéng yuè,澄水月华,5,5,5,4,4,4,27,水润+清辉,澄水映月
沐月,女,mù yuè,沐水月华,5,5,5,4,4,4,27,水润+清辉,沐泽月明
泽兰,女,zé lán,泽水兰芳,5,5,5,5,4,4,28,水泽+香草,泽润兰芳
润兰,女,rùn lán,润泽兰芳,5,5,5,4,4,4,27,水润+香草,润泽含芳
汀芷,女,tīng zhǐ,汀水白芷,5,5,5,5,4,4,28,水边+香草,水边白芷
沅兰,女,yuán lán,《楚辞》沅有芷兮澧有兰,5,5,5,5,4,4,28,水名+香草,沅水兰芳
